batch,rounding,layout_id,family,error_mode,source_count,arm,original_config,station_budget,conditions_per_layout_per_arm,completed_stations,station_id,discovered_channels,cleared_channels,virtual_time_s,discovered_fraction
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,9,10,0,0,1949.458659,0.0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,10,9,1,0,2166.809896,0.09090909090909091
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,11,8,1,0,2384.161133,0.09090909090909091
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,12,7,1,0,2601.51237,0.09090909090909091
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,13,6,1,0,2812.863607,0.09090909090909091
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,14,18,1,0,3128.583259,0.09090909090909091
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,15,19,1,0,3441.179905,0.09090909090909091
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,16,20,1,1,3754.874418,0.09090909090909091
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,17,21,3,1,4061.471064,0.2727272727272727
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,18,22,6,1,4368.06771,0.5454545454545454
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,19,23,6,4,5306.689058,0.5454545454545454
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,20,24,6,6,5853.100428,0.5454545454545454
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,21,13,8,6,6129.697074,0.7272727272727273
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,22,14,9,6,6406.29372,0.8181818181818182
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,23,15,9,7,6767.71407,0.8181818181818182
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,24,16,9,8,7243.716803,0.8181818181818182
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,25,17,11,8,7508.313449,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,0,,0,0,0.0,0.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,1,15,0,0,119.0,0.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,2,9,3,0,436.0,0.2727272727272727
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,3,8,3,3,1196.5176,0.2727272727272727
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,4,2,3,3,1495.5176,0.2727272727272727
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,5,7,3,3,1794.5176,0.2727272727272727
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,6,13,4,3,2093.5176,0.36363636363636365
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,7,19,6,4,2463.525912,0.5454545454545454
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,BASE,31,1,8,25,7,6,3235.245045,0.6363636363636364
