batch,rounding,layout_id,family,error_mode,source_count,arm,original_config,station_budget,conditions_per_layout_per_arm,actual_completed_stations,first_all_discovered_station,first_16_discovered_station,stopped_before_station_budget,stop_certificate,final_cleared,final_virtual_time_s,historical_metrics_match,replay_physics_audit_passed
round9_main,bounded,edge_111053_spatial_hash,edge,spatial_hash,14,baseline31,BASE,31,1,31,23,,0,triangular_halfplane_cover,14,10821.038236,1,1
round9_main,bounded,edge_111053_spatial_hash,edge,spatial_hash,14,recommended25,FINAL,25,1,25,25,,0,triangular_halfplane_cover,14,5756.107004,1,1
round9_main,bounded,uniform_111054_positive,uniform,positive,14,baseline31,BASE,31,1,31,23,,0,triangular_halfplane_cover,14,12054.175151,1,1
round9_main,bounded,uniform_111054_positive,uniform,positive,14,recommended25,FINAL,25,1,25,19,,0,triangular_halfplane_cover,14,7897.387766,1,1
round9_main,bounded,outward_111055_positive,outward,positive,14,baseline31,BASE,31,1,31,27,,0,triangular_halfplane_cover,14,16463.365294,1,1
round9_main,bounded,outward_111055_positive,outward,positive,14,recommended25,FINAL,25,1,25,24,,0,triangular_halfplane_cover,14,8957.803209,1,1
round9_main,bounded,inward_111056_positive,inward,positive,14,baseline31,BASE,31,1,31,22,,0,triangular_halfplane_cover,14,11469.299217,1,1
round9_main,bounded,inward_111056_positive,inward,positive,14,recommended25,FINAL,25,1,25,10,,0,triangular_halfplane_cover,14,5623.48299,1,1
round9_main,bounded,tangent_111057_positive,tangent,positive,15,baseline31,BASE,31,1,31,21,,0,triangular_halfplane_cover,15,12391.757771,1,1
round9_main,bounded,tangent_111057_positive,tangent,positive,15,recommended25,FINAL,25,1,25,13,,0,triangular_halfplane_cover,15,6469.299854,1,1
round9_main,bounded,cluster_111058_positive,cluster,positive,10,baseline31,BASE,31,1,31,19,,0,triangular_halfplane_cover,10,10951.21707,1,1
round9_main,bounded,cluster_111058_positive,cluster,positive,10,recommended25,FINAL,25,1,25,7,,0,triangular_halfplane_cover,10,6471.120013,1,1
round9_main,bounded,edge_111059_positive,edge,positive,10,baseline31,BASE,31,1,31,18,,0,triangular_halfplane_cover,10,10934.45086,1,1
round9_main,bounded,edge_111059_positive,edge,positive,10,recommended25,FINAL,25,1,25,8,,0,triangular_halfplane_cover,10,5713.456844,1,1
round9_main,bounded,uniform_111060_negative,uniform,negative,12,baseline31,BASE,31,1,31,16,,0,triangular_halfplane_cover,12,12209.548847,1,1
round9_main,bounded,uniform_111060_negative,uniform,negative,12,recommended25,FINAL,25,1,25,15,,0,triangular_halfplane_cover,12,6658.011935,1,1
round9_main,bounded,outward_111061_negative,outward,negative,16,baseline31,BASE,31,1,27,27,27,1,count16,16,12187.53022,1,1
round9_main,bounded,outward_111061_negative,outward,negative,16,recommended25,FINAL,25,1,25,25,25,0,count16,16,8531.601418,1,1
round9_main,bounded,inward_111062_negative,inward,negative,11,baseline31,BASE,31,1,31,16,,0,triangular_halfplane_cover,11,10510.955034,1,1
round9_main,bounded,inward_111062_negative,inward,negative,11,recommended25,FINAL,25,1,25,11,,0,triangular_halfplane_cover,11,5728.383328,1,1
round9_main,bounded,tangent_111063_negative,tangent,negative,16,baseline31,BASE,31,1,19,19,19,1,count16,16,7950.203603,1,1
round9_main,bounded,tangent_111063_negative,tangent,negative,16,recommended25,FINAL,25,1,13,13,13,1,count16,16,6350.041489,1,1
round9_main,bounded,cluster_111064_negative,cluster,negative,14,baseline31,BASE,31,1,31,19,,0,triangular_halfplane_cover,14,11265.192443,1,1
round9_main,bounded,cluster_111064_negative,cluster,negative,14,recommended25,FINAL,25,1,25,22,,0,triangular_halfplane_cover,14,6384.642489,1,1
round9_main,bounded,edge_111065_negative,edge,negative,14,baseline31,BASE,31,1,31,20,,0,triangular_halfplane_cover,14,12266.02781,1,1
round9_main,bounded,edge_111065_negative,edge,negative,14,recommended25,FINAL,25,1,25,25,,0,triangular_halfplane_cover,14,6048.065802,1,1
round9_main,bounded,uniform_111066_smooth,uniform,smooth,14,baseline31,BASE,31,1,31,18,,0,triangular_halfplane_cover,14,11706.061124,1,1
round9_main,bounded,uniform_111066_smooth,uniform,smooth,14,recommended25,FINAL,25,1,25,23,,0,triangular_halfplane_cover,14,7869.971315,1,1
round9_main,bounded,outward_111067_smooth,outward,smooth,11,baseline31,BASE,31,1,31,21,,0,triangular_halfplane_cover,11,13297.157034,1,1
round9_main,bounded,outward_111067_smooth,outward,smooth,11,recommended25,FINAL,25,1,25,24,,0,triangular_halfplane_cover,11,9931.570814,1,1
round9_main,bounded,inward_111068_smooth,inward,smooth,11,baseline31,BASE,31,1,31,17,,0,triangular_halfplane_cover,11,10713.675162,1,1
round9_main,bounded,inward_111068_smooth,inward,smooth,11,recommended25,FINAL,25,1,25,9,,0,triangular_halfplane_cover,11,5595.526407,1,1
round9_main,bounded,tangent_111069_smooth,tangent,smooth,15,baseline31,BASE,31,1,31,19,,0,triangular_halfplane_cover,15,12518.039538,1,1
round9_main,bounded,tangent_111069_smooth,tangent,smooth,15,recommended25,FINAL,25,1,25,13,,0,triangular_halfplane_cover,15,7173.254715,1,1
round9_main,bounded,cluster_111070_smooth,cluster,smooth,15,baseline31,BASE,31,1,31,20,,0,triangular_halfplane_cover,15,12436.32139,1,1
round9_main,bounded,cluster_111070_smooth,cluster,smooth,15,recommended25,FINAL,25,1,25,15,,0,triangular_halfplane_cover,15,6771.638203,1,1
round9_main,bounded,edge_111071_smooth,edge,smooth,16,baseline31,BASE,31,1,25,25,25,1,count16,16,11228.794927,1,1
round9_main,bounded,edge_111071_smooth,edge,smooth,16,recommended25,FINAL,25,1,22,22,22,1,count16,16,6771.068625,1,1
round9_main,bounded,uniform_111072_spatial_hash,uniform,spatial_hash,10,baseline31,BASE,31,1,31,27,,0,triangular_halfplane_cover,10,10963.981086,1,1
round9_main,bounded,uniform_111072_spatial_hash,uniform,spatial_hash,10,recommended25,FINAL,25,1,25,15,,0,triangular_halfplane_cover,10,6946.294872,1,1
round9_main,bounded,outward_111073_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,31,26,,0,triangular_halfplane_cover,11,13825.271534,1,1
round9_main,bounded,outward_111073_spatial_hash,outward,spatial_hash,11,recommended25,FINAL,25,1,25,23,,0,triangular_halfplane_cover,11,8425.787997,1,1
round9_main,bounded,inward_111074_spatial_hash,inward,spatial_hash,10,baseline31,BASE,31,1,31,24,,0,triangular_halfplane_cover,10,10997.062328,1,1
round9_main,bounded,inward_111074_spatial_hash,inward,spatial_hash,10,recommended25,FINAL,25,1,25,8,,0,triangular_halfplane_cover,10,5769.200176,1,1
round9_main,bounded,tangent_111075_spatial_hash,tangent,spatial_hash,10,baseline31,BASE,31,1,31,20,,0,triangular_halfplane_cover,10,13159.304509,1,1
round9_main,bounded,tangent_111075_spatial_hash,tangent,spatial_hash,10,recommended25,FINAL,25,1,25,24,,0,triangular_halfplane_cover,10,8179.227327,1,1
round9_main,bounded,cluster_111076_spatial_hash,cluster,spatial_hash,14,baseline31,BASE,31,1,31,19,,0,triangular_halfplane_cover,14,11557.571436,1,1
round9_main,bounded,cluster_111076_spatial_hash,cluster,spatial_hash,14,recommended25,FINAL,25,1,25,15,,0,triangular_halfplane_cover,14,6255.045534,1,1
round9_main,bounded,edge_111077_spatial_hash,edge,spatial_hash,10,baseline31,BASE,31,1,31,22,,0,triangular_halfplane_cover,10,11416.448472,1,1
round9_main,bounded,edge_111077_spatial_hash,edge,spatial_hash,10,recommended25,FINAL,25,1,25,23,,0,triangular_halfplane_cover,10,6553.655682,1,1
round9_main,bounded,uniform_111078_positive,uniform,positive,12,baseline31,BASE,31,1,31,18,,0,triangular_halfplane_cover,12,11195.819879,1,1
round9_main,bounded,uniform_111078_positive,uniform,positive,12,recommended25,FINAL,25,1,25,22,,0,triangular_halfplane_cover,12,8077.540791,1,1
round9_main,bounded,outward_111079_positive,outward,positive,15,baseline31,BASE,31,1,31,28,,0,triangular_halfplane_cover,15,12954.666521,1,1
round9_main,bounded,outward_111079_positive,outward,positive,15,recommended25,FINAL,25,1,25,23,,0,triangular_halfplane_cover,15,8135.49466,1,1
round9_main,bounded,inward_111080_positive,inward,positive,14,baseline31,BASE,31,1,31,21,,0,triangular_halfplane_cover,14,11295.862602,1,1
round9_main,bounded,inward_111080_positive,inward,positive,14,recommended25,FINAL,25,1,25,12,,0,triangular_halfplane_cover,14,5547.65468,1,1
round9_main,bounded,tangent_111081_positive,tangent,positive,15,baseline31,BASE,31,1,31,17,,0,triangular_halfplane_cover,15,11384.232947,1,1
round9_main,bounded,tangent_111081_positive,tangent,positive,15,recommended25,FINAL,25,1,25,12,,0,triangular_halfplane_cover,15,5837.369793,1,1
round9_main,bounded,cluster_111082_positive,cluster,positive,12,baseline31,BASE,31,1,31,15,,0,triangular_halfplane_cover,12,11762.139122,1,1
round9_main,bounded,cluster_111082_positive,cluster,positive,12,recommended25,FINAL,25,1,25,7,,0,triangular_halfplane_cover,12,6326.062581,1,1
round9_main,bounded,edge_111083_positive,edge,positive,11,baseline31,BASE,31,1,31,21,,0,triangular_halfplane_cover,11,10959.646596,1,1
round9_main,bounded,edge_111083_positive,edge,positive,11,recommended25,FINAL,25,1,25,19,,0,triangular_halfplane_cover,11,6800.035172,1,1
round9_main,bounded,uniform_111084_negative,uniform,negative,16,baseline31,BASE,31,1,19,19,19,1,count16,16,8042.539607,1,1
round9_main,bounded,uniform_111084_negative,uniform,negative,16,recommended25,FINAL,25,1,22,22,22,1,count16,16,6414.601483,1,1
round9_main,bounded,outward_111085_negative,outward,negative,11,baseline31,BASE,31,1,31,17,,0,triangular_halfplane_cover,11,11929.003093,1,1
round9_main,bounded,outward_111085_negative,outward,negative,11,recommended25,FINAL,25,1,25,22,,0,triangular_halfplane_cover,11,6088.258081,1,1
round9_main,bounded,inward_111086_negative,inward,negative,16,baseline31,BASE,31,1,15,15,15,1,count16,16,6413.744822,1,1
round9_main,bounded,inward_111086_negative,inward,negative,16,recommended25,FINAL,25,1,11,11,11,1,count16,16,4701.343649,1,1
round9_main,bounded,tangent_111087_negative,tangent,negative,16,baseline31,BASE,31,1,25,25,25,1,count16,16,14134.198645,1,1
round9_main,bounded,tangent_111087_negative,tangent,negative,16,recommended25,FINAL,25,1,23,23,23,1,count16,16,7529.735279,1,1
round9_main,bounded,cluster_111088_negative,cluster,negative,16,baseline31,BASE,31,1,20,20,20,1,count16,16,8687.98,1,1
round9_main,bounded,cluster_111088_negative,cluster,negative,16,recommended25,FINAL,25,1,14,14,14,1,count16,16,4357.520785,1,1
round9_main,bounded,edge_111089_negative,edge,negative,10,baseline31,BASE,31,1,31,22,,0,triangular_halfplane_cover,10,12478.542803,1,1
round9_main,bounded,edge_111089_negative,edge,negative,10,recommended25,FINAL,25,1,25,24,,0,triangular_halfplane_cover,10,7140.20475,1,1
round9_main,bounded,uniform_111090_smooth,uniform,smooth,12,baseline31,BASE,31,1,31,15,,0,triangular_halfplane_cover,12,10306.973365,1,1
round9_main,bounded,uniform_111090_smooth,uniform,smooth,12,recommended25,FINAL,25,1,25,11,,0,triangular_halfplane_cover,12,5725.445309,1,1
round9_main,bounded,outward_111091_smooth,outward,smooth,10,baseline31,BASE,31,1,31,23,,0,triangular_halfplane_cover,10,11968.611648,1,1
round9_main,bounded,outward_111091_smooth,outward,smooth,10,recommended25,FINAL,25,1,25,14,,0,triangular_halfplane_cover,10,5979.215791,1,1
round9_main,bounded,inward_111092_smooth,inward,smooth,15,baseline31,BASE,31,1,31,9,,0,triangular_halfplane_cover,15,11014.87848,1,1
round9_main,bounded,inward_111092_smooth,inward,smooth,15,recommended25,FINAL,25,1,25,10,,0,triangular_halfplane_cover,15,5397.150888,1,1
round9_main,bounded,tangent_111093_smooth,tangent,smooth,14,baseline31,BASE,31,1,31,28,,0,triangular_halfplane_cover,14,12012.180057,1,1
round9_main,bounded,tangent_111093_smooth,tangent,smooth,14,recommended25,FINAL,25,1,25,12,,0,triangular_halfplane_cover,14,7771.567453,1,1
round9_main,bounded,cluster_111094_smooth,cluster,smooth,16,baseline31,BASE,31,1,23,23,23,1,count16,16,10986.63788,1,1
round9_main,bounded,cluster_111094_smooth,cluster,smooth,16,recommended25,FINAL,25,1,19,19,19,1,count16,16,5757.756403,1,1
round9_main,bounded,edge_111095_smooth,edge,smooth,14,baseline31,BASE,31,1,31,21,,0,triangular_halfplane_cover,14,12221.815542,1,1
