batch,rounding,layout_id,family,error_mode,source_count,arm,station_budget,conditions_per_layout_per_arm,actual_completed_stations,station_index,discovered_channels,discovered_fraction,value_kind,beyond_station_budget
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,30,11,1.0,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,31,1,31,31,11,1.0,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,0,0,0.0,initial,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,1,0,0.0,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,2,0,0.0,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,3,0,0.0,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,4,0,0.0,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,5,0,0.0,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,6,0,0.0,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,7,0,0.0,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,8,0,0.0,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,9,0,0.0,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,10,1,0.09090909090909091,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,11,1,0.09090909090909091,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,12,1,0.09090909090909091,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,13,1,0.09090909090909091,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,14,1,0.09090909090909091,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,15,1,0.09090909090909091,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,16,1,0.09090909090909091,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,17,3,0.2727272727272727,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,18,6,0.5454545454545454,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,19,6,0.5454545454545454,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,20,6,0.5454545454545454,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,21,8,0.7272727272727273,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,22,9,0.8181818181818182,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,23,9,0.8181818181818182,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,24,9,0.8181818181818182,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,25,11,1.0,observed_scan_endpoint,0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,26,11,1.0,post_stop_carry_forward,1
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,27,11,1.0,post_stop_carry_forward,1
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,28,11,1.0,post_stop_carry_forward,1
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,29,11,1.0,post_stop_carry_forward,1
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,30,11,1.0,post_stop_carry_forward,1
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,recommended25,25,1,25,31,11,1.0,post_stop_carry_forward,1
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,0,0,0.0,initial,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,1,0,0.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,2,3,0.2727272727272727,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,3,3,0.2727272727272727,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,4,3,0.2727272727272727,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,5,3,0.2727272727272727,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,6,4,0.36363636363636365,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,7,6,0.5454545454545454,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,8,7,0.6363636363636364,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,9,7,0.6363636363636364,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,10,7,0.6363636363636364,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,11,7,0.6363636363636364,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,12,8,0.7272727272727273,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,13,10,0.9090909090909091,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,14,10,0.9090909090909091,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,15,10,0.9090909090909091,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,16,10,0.9090909090909091,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,17,10,0.9090909090909091,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,18,10,0.9090909090909091,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,19,10,0.9090909090909091,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,20,10,0.9090909090909091,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,21,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,22,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,23,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,24,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,25,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,26,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,27,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,28,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,29,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,30,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,baseline31,31,1,31,31,11,1.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,0,0,0.0,initial,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,1,0,0.0,observed_scan_endpoint,0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,25,1,25,2,2,0.18181818181818182,observed_scan_endpoint,0
