batch,arm,source_stratum,station_index,n_independent_layouts,n_observed_scan_endpoints,n_carried_forward,count_q1,count_median,count_q3,fraction_q1,fraction_median,fraction_q3
round9_main,baseline31,n_sources_12,9,12,12,0,6.75,9.0,11.0,0.5625,0.75,0.9166666666666666
round9_main,baseline31,n_sources_12,10,12,12,0,6.75,9.5,11.0,0.5625,0.7916666666666667,0.9166666666666666
round9_main,baseline31,n_sources_12,11,12,12,0,6.75,9.5,11.25,0.5625,0.7916666666666667,0.9375
round9_main,baseline31,n_sources_12,12,12,12,0,6.75,9.5,11.25,0.5625,0.7916666666666667,0.9375
round9_main,baseline31,n_sources_12,13,12,12,0,7.0,10.0,11.25,0.5833333333333334,0.8333333333333334,0.9375
round9_main,baseline31,n_sources_12,14,12,12,0,8.0,10.5,11.25,0.6666666666666666,0.875,0.9375
round9_main,baseline31,n_sources_12,15,12,12,0,8.0,10.5,12.0,0.6666666666666666,0.875,1.0
round9_main,baseline31,n_sources_12,16,12,12,0,8.0,11.0,12.0,0.6666666666666666,0.9166666666666667,1.0
round9_main,baseline31,n_sources_12,17,12,12,0,8.75,11.5,12.0,0.7291666666666666,0.9583333333333333,1.0
round9_main,baseline31,n_sources_12,18,12,12,0,10.5,12.0,12.0,0.875,1.0,1.0
round9_main,baseline31,n_sources_12,19,12,12,0,11.0,12.0,12.0,0.9166666666666666,1.0,1.0
round9_main,baseline31,n_sources_12,20,12,12,0,11.75,12.0,12.0,0.9791666666666666,1.0,1.0
round9_main,baseline31,n_sources_12,21,12,12,0,12.0,12.0,12.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_12,22,12,12,0,12.0,12.0,12.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_12,23,12,12,0,12.0,12.0,12.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_12,24,12,12,0,12.0,12.0,12.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_12,25,12,12,0,12.0,12.0,12.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_12,26,12,12,0,12.0,12.0,12.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_12,27,12,12,0,12.0,12.0,12.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_12,28,12,12,0,12.0,12.0,12.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_12,29,12,12,0,12.0,12.0,12.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_12,30,12,12,0,12.0,12.0,12.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_12,31,12,12,0,12.0,12.0,12.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_13,0,12,12,0,0.0,0.0,0.0,0.0,0.0,0.0
round9_main,baseline31,n_sources_13,1,12,12,0,0.0,0.0,1.25,0.0,0.0,0.09615384615384616
round9_main,baseline31,n_sources_13,2,12,12,0,2.0,3.0,5.0,0.15384615384615385,0.23076923076923078,0.38461538461538464
round9_main,baseline31,n_sources_13,3,12,12,0,3.0,3.5,6.25,0.23076923076923078,0.2692307692307693,0.4807692307692308
round9_main,baseline31,n_sources_13,4,12,12,0,3.0,4.0,6.25,0.23076923076923078,0.3076923076923077,0.4807692307692308
round9_main,baseline31,n_sources_13,5,12,12,0,3.0,4.0,6.25,0.23076923076923078,0.3076923076923077,0.4807692307692308
round9_main,baseline31,n_sources_13,6,12,12,0,3.0,4.0,6.25,0.23076923076923078,0.3076923076923077,0.4807692307692308
round9_main,baseline31,n_sources_13,7,12,12,0,3.75,5.5,7.0,0.2884615384615385,0.42307692307692313,0.5384615384615384
round9_main,baseline31,n_sources_13,8,12,12,0,4.0,5.5,7.0,0.3076923076923077,0.42307692307692313,0.5384615384615384
round9_main,baseline31,n_sources_13,9,12,12,0,5.0,6.0,7.5,0.38461538461538464,0.46153846153846156,0.5769230769230769
round9_main,baseline31,n_sources_13,10,12,12,0,5.75,7.0,8.5,0.44230769230769235,0.5384615384615384,0.6538461538461539
round9_main,baseline31,n_sources_13,11,12,12,0,5.75,7.5,9.25,0.44230769230769235,0.5769230769230769,0.7115384615384616
round9_main,baseline31,n_sources_13,12,12,12,0,6.75,8.0,11.0,0.5192307692307692,0.6153846153846154,0.8461538461538461
round9_main,baseline31,n_sources_13,13,12,12,0,7.5,9.5,11.25,0.576923076923077,0.7307692307692308,0.8653846153846154
round9_main,baseline31,n_sources_13,14,12,12,0,7.75,11.0,12.0,0.5961538461538461,0.8461538461538461,0.9230769230769231
round9_main,baseline31,n_sources_13,15,12,12,0,8.0,11.0,12.25,0.6153846153846154,0.8461538461538461,0.9423076923076923
round9_main,baseline31,n_sources_13,16,12,12,0,9.75,11.5,12.25,0.75,0.8846153846153846,0.9423076923076923
round9_main,baseline31,n_sources_13,17,12,12,0,10.0,11.5,13.0,0.7692307692307693,0.8846153846153846,1.0
round9_main,baseline31,n_sources_13,18,12,12,0,11.0,12.0,13.0,0.8461538461538461,0.9230769230769231,1.0
round9_main,baseline31,n_sources_13,19,12,12,0,12.0,12.5,13.0,0.9230769230769231,0.9615384615384616,1.0
round9_main,baseline31,n_sources_13,20,12,12,0,12.0,13.0,13.0,0.9230769230769231,1.0,1.0
round9_main,baseline31,n_sources_13,21,12,12,0,12.0,13.0,13.0,0.9230769230769231,1.0,1.0
round9_main,baseline31,n_sources_13,22,12,12,0,12.75,13.0,13.0,0.9807692307692308,1.0,1.0
round9_main,baseline31,n_sources_13,23,12,12,0,13.0,13.0,13.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_13,24,12,12,0,13.0,13.0,13.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_13,25,12,12,0,13.0,13.0,13.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_13,26,12,12,0,13.0,13.0,13.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_13,27,12,12,0,13.0,13.0,13.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_13,28,12,12,0,13.0,13.0,13.0,1.0,1.0,1.0
