rounding,case_id,baseline,candidate,change_s,change_pct,baseline_success,candidate_success,movement_s_difference,switch_s_difference,detection_s_difference,optical_s_difference,laser_s_difference
pre_round_stress,final_cluster_910044_smooth,2191.09706,2113.840424,-77.25663600000007,-3.5259339903454645,True,True,-110.25663659399675,10.0,50.0,-27.0,0.0
pre_round_stress,final_cluster_910044_positive,2101.004272,2057.501931,-43.50234100000034,-2.070549859405535,True,True,-103.5023400239445,10.0,50.0,0.0,0.0
pre_round_stress,final_cluster_910044_negative,2250.432758,2081.147279,-169.28547900000012,-7.522352240839547,True,True,-169.28548223101643,10.0,50.0,-60.0,0.0
pre_round_stress,final_min_radius_910045_spatial_hash,3363.658947,3453.13017,89.47122300000001,2.6599374196304426,True,True,48.471222773047884,5.0,45.0,-9.0,0.0
pre_round_stress,final_min_radius_910045_smooth,3632.284736,3417.395934,-214.88880199999994,-5.916078105612477,True,True,-262.8887995916116,4.0,50.0,-6.0,0.0
pre_round_stress,final_min_radius_910045_positive,4173.913301,3412.377758,-761.5355429999995,-18.245121258689025,True,True,-809.5355410235925,4.0,50.0,-6.0,0.0
pre_round_stress,final_min_radius_910045_negative,3659.060285,3396.891841,-262.1684439999999,-7.164911851131195,True,True,-289.1684438711418,4.0,50.0,-27.0,0.0
pre_round_stress,final_radial_910046_spatial_hash,1392.854128,1112.622114,-280.23201399999994,-20.119265066355887,True,True,-340.23201849684904,15.0,75.0,-30.0,0.0
pre_round_stress,final_radial_910046_smooth,1208.460315,1287.652958,79.19264299999986,6.55318524050994,True,True,34.19264627313362,11.0,55.0,-21.0,0.0
pre_round_stress,final_radial_910046_positive,1343.14254,2576.788419,1233.645879,91.84772593086062,True,True,971.6458785070784,47.0,230.0,-15.0,0.0
pre_round_stress,final_radial_910046_negative,1480.960729,1062.563356,-418.3973729999998,-28.251753392712676,True,True,-428.39737088372226,13.0,60.0,-63.0,0.0
pre_round_stress,final_reception_edge_910047_spatial_hash,3929.524458,3604.093633,-325.4308249999999,-8.281684679108315,True,True,-315.43082364788916,0.0,35.0,-45.0,0.0
pre_round_stress,final_reception_edge_910047_smooth,3910.298686,3583.676257,-326.622429,-8.35287672958086,True,True,-341.622433266818,2.0,55.0,-42.0,0.0
pre_round_stress,final_reception_edge_910047_positive,3971.781467,3472.186115,-499.5953519999998,-12.578621360488862,True,True,-542.595349326305,4.0,60.0,-21.0,0.0
pre_round_stress,final_reception_edge_910047_negative,3886.453584,3656.413694,-230.03989,-5.9190180720810055,True,True,-214.03989535506525,0.0,50.0,-66.0,0.0
pre_round_stress,final_uniform_910048_spatial_hash,3611.197862,3706.694931,95.49706900000001,2.644470689487788,True,True,107.49706745751973,0.0,15.0,-27.0,0.0
pre_round_stress,final_uniform_910048_smooth,3723.642675,3640.784826,-82.85784899999999,-2.225182602946718,True,True,-64.85785342080726,2.0,25.0,-45.0,0.0
pre_round_stress,final_uniform_910048_positive,3754.163309,3381.053979,-373.1093300000002,-9.938548200754372,True,True,-416.1093297459538,5.0,50.0,-12.0,0.0
pre_round_stress,final_uniform_910048_negative,4016.872093,3219.291284,-797.580809,-19.855768133366848,True,True,-769.5808101453827,4.0,40.0,-72.0,0.0
